Evidence_code,VEP_annotation,Values_to_match,Evidence_category,Evidence_strength,Description,Quick_description,Data_type,Data_source,Data_source_details,Simple_logic?
PP1,GT,"0/1 or 1/1 in affecteds, 0/0 or 0/1 in unaffecteds, in a known disease causing gene though",Pathogenic,Supporting,Cosegregation with disease in multiple affected family members in a gene definitively known to cause the disease,Allele segregation in family in known causative gene,Variant annotation,"VEP, literature, gene panels",GEMINI/slivar,Yes
PP2,Consequence,"may need to be manual, missense in a gene where missense variants cause disease, a separate database would need to be built to have these diseases where missense variants are causative",Pathogenic,Supporting,Missense variant in a gene that has a low rate of benign missense variation and in which missense variants are a common mechanism of disease,Missense in disease where missense is known mechanism,Variant annotation,"VEP, literature, gene panels",,No
PP3,REVEL,> 0.8 ? or user defined,Pathogenic,Supporting,"Multiple lines of computational evidence support a deleterious effect on the gene or gene product (conservation, evolutionary, splicing impact, etc.)",Multiple computational evidences support pathogenicity,Variant annotation,VEP/GEMINI,REVEL VEP plugin + others,Yes
PP4,"none, likely needs to be manual",-,Pathogenic,Supporting,Patient’s phenotype or family history is highly specific for a disease with a single genetic etiology,Highly specific phenotype in family,Patient history,,patient notes,Yes
PP5,-,-,Pathogenic,Supporting,"Reputable source recently reports variant as pathogenic, but the evidence is not available to the laboratory to perform an independent evaluation",Other sources report as pathogenic,-,-,,
BA1,gnomAD_AF,> 0.05 frequency,Benign,Very Strong,"Allele frequency is >5% in Exome Sequencing Project, 1000 Genomes Project, or Exome Aggregation Consortium",Allele freq > 5%,Variant annotation,VEP/GEMINI,base VEP,Yes
BS1,gnomAD_AF,> 0.01 or user defined,Benign,Strong,Allele frequency is greater than expected for disorder,Allele freq greater than expected,Variant annotation,VEP/GEMINI,,No
BS2,GT,genotype of unaffected individual matches parent or unaffected individual (0/1 or 1/1),Benign,Strong,"Observed in a healthy adult individual for a recessive (homozygous), dominant (heterozygous), or X-linked (hemizygous) disorder, with full penetrance expected at an early age",Observed in healthy individuals when expected to be penetrant,Variant annotation,VEP/GEMINI,GEMINI/slivar?,Yes
BS3,"none, likely needs to be manual",,Benign,Strong,Well-established in vitro or in vivo functional studies show no damaging effect on protein function or splicing,Functional studies show benign effect,,,,No
BS4,GT,"genotype of unaffected individual matches parent or unaffected individual (0/1 or 1/1), same as BS2?",Benign,Strong,Lack of segregation in affected members of a family,Lack of segregation in family,Variant annotation,VEP/GEMINI,GEMINI/slivar,Yes
BP1,Existing_variation/Consequence,"missense_variant, but also using a separate database would need to be built to have these diseases where missense variants are causative",Benign,Supporting,Missense variant in a gene for which primarily truncating variants are known to cause disease,Missense variant in disease where only total LOF is observed,Variant annotation,"VEP, literature, gene panels",,No
BP2,Existing_variation/Consequence/SYMBOL,variant is in same gene as clinvar pathogenic,Benign,Supporting,Observed in trans with a pathogenic variant for a fully penetrant dominant gene/disorder or observed in cis with a pathogenic variant in any inheritance pattern,Observed in trans with pathogenic variant or,Variant annotation,,,No
BP3,Consequence,"inframe_insertion or inframe_deletion, checking surrounding positions for repeat regions",Benign,Supporting,In-frame deletions/insertions in a repetitive region without a known function,Inframe ins/del in repetitive region,Variant annotation,VEP/GEMINI,base VEP domains?,No
BP4,REVEL,< 0.5 ? or user defined,Benign,Supporting,"Multiple lines of computational evidence suggest no impact on gene or gene product (conservation, evolutionary, splicing impact, etc.)",Multiple computational evidences support benign,Variant annotation,VEP/GEMINI,REVEL VEP plugin + others,Yes
BP5,most likely manual,-,Benign,Supporting,Variant found in a case with an alternate molecular basis for disease,Variant in case where causal variant already established,,,,No
BP6,-,-,Benign,Supporting,"Reputable source recently reports variant as benign, but the evidence is not available to the laboratory to perform an independent evaluation.",Other sources report as benign,-,-,,
BP7,Consequence,synonymous_variant and NO splice predictions,Benign,Supporting,A synonymous (silent) variant for which splicing prediction algorithms predict no impact to the splice consensus sequence nor the creation of a new splice site AND the nucleotide is not highly conserved,Synonymous that doesn't affect splicing and nt is not conserved,Variant annotation,VEP/GEMINI,base VEP,Yes
,,,,,,,,,,
** Consider not including PP5 and BP6 - been some suggestions that these aren't valid measures,,,,,,,,,,
*** Also consider using ANNOVAR/InterVar for classifying instead of VEP/GEMINI,,,,,,,,,,
